                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0208,                0.47773,                 1.1132,                0.98025,                0.96482,                0.98243,                0.70432,                 1.0837,                0.37623,                 1.1276,               0.006535,               0.006535,               0.006535
                     37,                 1.0171,                0.47312,                 1.1078,                0.98419,                0.96341,                0.98351,                0.70891,                 1.0832,                0.37596,                 1.1285,               0.006436,               0.006436,               0.006436
                     38,                 1.0127,                0.46839,                 1.1089,                0.97928,                0.96576,                0.98236,                0.70734,                 1.0829,                 0.3769,                 1.1274,               0.006337,               0.006337,               0.006337
                     39,                 1.0099,                0.46705,                 1.1073,                0.98207,                0.96576,                0.98308,                0.70744,                 1.0812,                 0.3728,                 1.1275,               0.006238,               0.006238,               0.006238
                     40,                 1.0052,                0.46576,                 1.1035,                0.98332,                0.96529,                0.98372,                0.70878,                 1.0817,                0.37175,                 1.1269,               0.006139,               0.006139,               0.006139
                     41,                  1.005,                0.46381,                 1.1006,                0.98183,                0.96482,                0.98276,                 0.7093,                 1.0832,                0.37051,                 1.1275,                0.00604,                0.00604,                0.00604
                     42,                 1.0046,                0.46116,                 1.1025,                  0.983,                0.96435,                 0.9829,                 0.7093,                 1.0844,                0.36907,                 1.1284,               0.005941,               0.005941,               0.005941
                     43,                0.99869,                0.45939,                 1.0985,                0.98401,                0.96341,                0.98246,                0.70771,                 1.0847,                0.36978,                 1.1283,               0.005842,               0.005842,               0.005842
                     44,                0.99646,                0.45828,                 1.1001,                0.97915,                0.96529,                0.98219,                0.70878,                 1.0835,                0.36879,                 1.1282,               0.005743,               0.005743,               0.005743
                     45,                0.99498,                0.45336,                 1.0981,                0.98233,                0.96457,                0.98301,                0.70946,                 1.0815,                0.36572,                 1.1279,               0.005644,               0.005644,               0.005644
                     46,                 0.9906,                0.45198,                 1.0956,                0.98231,                0.96344,                0.98261,                0.70929,                 1.0815,                0.36559,                  1.128,               0.005545,               0.005545,               0.005545
                     47,                0.99082,                0.44968,                 1.0934,                0.98458,                0.96295,                0.98316,                0.71108,                 1.0804,                0.36464,                 1.1272,               0.005446,               0.005446,               0.005446
                     48,                0.98676,                0.44672,                 1.0926,                0.98558,                0.96201,                0.98278,                0.71192,                 1.0788,                0.36411,                 1.1258,               0.005347,               0.005347,               0.005347
                     49,                0.97685,                0.44554,                 1.0902,                  0.986,                0.96341,                0.98271,                0.71119,                 1.0783,                0.36212,                 1.1254,               0.005248,               0.005248,               0.005248
                     50,                0.97859,                0.44329,                 1.0909,                0.98659,                0.96341,                0.98281,                0.71041,                 1.0781,                0.36186,                 1.1247,               0.005149,               0.005149,               0.005149
                     51,                0.97858,                0.44346,                 1.0862,                0.98703,                0.96388,                 0.9833,                0.71109,                 1.0786,                0.36191,                 1.1253,                0.00505,                0.00505,                0.00505
                     52,                0.97148,                0.43645,                 1.0853,                0.98562,                0.96341,                0.98354,                0.71105,                 1.0791,                0.36199,                 1.1254,               0.004951,               0.004951,               0.004951
                     53,                 0.9678,                0.43616,                 1.0859,                 0.9856,                0.96292,                0.98305,                0.71113,                 1.0788,                0.36139,                 1.1255,               0.004852,               0.004852,               0.004852
                     54,                0.97641,                0.43941,                 1.0897,                0.98512,                0.96257,                0.98299,                0.71084,                 1.0789,                0.36112,                 1.1256,               0.004753,               0.004753,               0.004753
                     55,                0.96622,                0.43218,                 1.0811,                0.98372,                0.96386,                 0.9829,                0.71259,                 1.0789,                0.36132,                 1.1258,               0.004654,               0.004654,               0.004654
                     56,                0.96459,                 0.4344,                 1.0825,                0.98455,                0.96341,                0.98287,                0.71174,                 1.0788,                0.36103,                 1.1259,               0.004555,               0.004555,               0.004555
                     57,                0.96114,                0.43135,                 1.0798,                0.98372,                0.96363,                0.98284,                0.71316,                 1.0781,                0.36055,                  1.126,               0.004456,               0.004456,               0.004456
                     58,                0.95679,                0.42796,                 1.0807,                0.98372,                 0.9638,                0.98298,                0.71309,                 1.0782,                0.36008,                 1.1257,               0.004357,               0.004357,               0.004357
                     59,                0.95654,                0.42696,                 1.0802,                0.98157,                0.96576,                0.98366,                  0.714,                 1.0774,                0.35934,                 1.1252,               0.004258,               0.004258,               0.004258
                     60,                0.94868,                0.42109,                  1.068,                0.98328,                0.96516,                0.98375,                0.71506,                 1.0771,                 0.3589,                 1.1246,               0.004159,               0.004159,               0.004159
                     61,                0.94544,                0.41709,                  1.069,                0.98408,                0.96482,                0.98396,                0.71562,                 1.0766,                0.35831,                 1.1244,                0.00406,                0.00406,                0.00406
                     62,                0.94271,                 0.4199,                  1.071,                0.98469,                0.96518,                0.98417,                0.71667,                 1.0765,                0.35817,                 1.1244,               0.003961,               0.003961,               0.003961
                     63,                0.93739,                0.41709,                 1.0691,                0.98563,                0.96507,                0.98431,                0.71651,                 1.0768,                0.35835,                 1.1244,               0.003862,               0.003862,               0.003862
                     64,                0.94046,                0.41493,                 1.0665,                0.98578,                0.96529,                0.98448,                0.71597,                 1.0767,                0.35769,                 1.1245,               0.003763,               0.003763,               0.003763
                     65,                  0.935,                0.41528,                 1.0665,                 0.9861,                  0.965,                0.98469,                0.71562,                 1.0769,                 0.3576,                 1.1243,               0.003664,               0.003664,               0.003664
                     66,                0.93405,                0.41199,                 1.0694,                0.98592,                0.96482,                0.98507,                0.71562,                 1.0768,                0.35745,                 1.1242,               0.003565,               0.003565,               0.003565
                     67,                0.93502,                0.41049,                 1.0656,                0.98609,                 0.9646,                0.98507,                0.71639,                 1.0772,                 0.3571,                 1.1246,               0.003466,               0.003466,               0.003466
                     68,                0.93004,                 0.4086,                 1.0601,                0.98529,                0.96482,                0.98512,                0.71694,                  1.077,                0.35673,                 1.1245,               0.003367,               0.003367,               0.003367
                     69,                0.92273,                0.40456,                 1.0591,                0.98369,                0.96623,                0.98514,                0.71656,                 1.0768,                0.35704,                 1.1246,               0.003268,               0.003268,               0.003268
                     70,                0.91673,                0.40178,                  1.058,                 0.9837,                 0.9667,                0.98512,                0.71643,                  1.077,                0.35716,                 1.1245,               0.003169,               0.003169,               0.003169
                     71,                0.91748,                0.40016,                 1.0549,                 0.9835,                 0.9667,                 0.9851,                0.71663,                 1.0769,                0.35738,                 1.1246,                0.00307,                0.00307,                0.00307
                     72,                0.91288,                0.39886,                 1.0555,                0.98331,                0.96733,                0.98509,                0.71682,                  1.077,                0.35704,                 1.1247,               0.002971,               0.002971,               0.002971
                     73,                0.91226,                0.39744,                 1.0533,                0.98328,                0.96623,                0.98494,                 0.7175,                 1.0772,                0.35717,                 1.1247,               0.002872,               0.002872,               0.002872
                     74,                0.90166,                 0.3932,                 1.0482,                0.98329,                0.96577,                0.98507,                0.71769,                 1.0768,                0.35679,                 1.1247,               0.002773,               0.002773,               0.002773
